id,companyId,number,product,product_en,multiple,name,logo,product_img
254,81,"4","蜂蜜","Honey",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/4.jpg"
255,81,"5","幼苗","Seedlings",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/5.jpg"
256,81,"6","农业综合企业咨询","Agribusiness consultancy",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/6.jpg"
257,81,"7","农业储蓄","AgriSave",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/7.jpg"
258,81,"8","农业投入品与机械化","Agro-inputs & mechanization",0,"Mrutu Agro-Solutions Company Limited","images/SME/Mrutu Agro-Solutions Company Limited/","images/SME/Mrutu Agro-Solutions Company Limited/8.jpg"
259,82,"1","葡萄干","Raisins",0,"""Eastern Agro Export"" Limited Liability Company","images/SME/Eastern Agro Export Limited Liability Company/","images/SME/Eastern Agro Export Limited Liability Company/1.jpg"
260,82,"2","杏干","Dried apricots",0,"""Eastern Agro Export"" Limited Liability Company","images/SME/Eastern Agro Export Limited Liability Company/","images/SME/Eastern Agro Export Limited Liability Company/2.jpg"
261,82,"3","西梅干"," Prunes",0,"""Eastern Agro Export"" Limited Liability Company","images/SME/Eastern Agro Export Limited Liability Company/","images/SME/Eastern Agro Export Limited Liability Company/3.jpg"
262,82,"4","绿豆","Mung beans",0,"""Eastern Agro Export"" Limited Liability Company","images/SME/Eastern Agro Export Limited Liability Company/","images/SME/Eastern Agro Export Limited Liability Company/4.jpg"
263,82,"5","花生","Peanuts",0,"""Eastern Agro Export"" Limited Liability Company","images/SME/Eastern Agro Export Limited Liability Company/","images/SME/Eastern Agro Export Limited Liability Company/5.jpg"
264,83,"1","杏干","Dried apricots",0,"""Optimum Fruits"" LLC","images/SME/Optimum Fruits LLC/","images/SME/Optimum Fruits LLC/1.jpg"
265,83,"2","葡萄干","Raisins",0,"""Optimum Fruits"" LLC","images/SME/Optimum Fruits LLC/","images/SME/Optimum Fruits LLC/2.jpg"
266,83,"3","西梅干","Prunes",0,"""Optimum Fruits"" LLC","images/SME/Optimum Fruits LLC/","images/SME/Optimum Fruits LLC/3.jpg"
267,83,"4","绿豆","Mung beans",0,"""Optimum Fruits"" LLC","images/SME/Optimum Fruits LLC/","images/SME/Optimum Fruits LLC/4.jpg"
268,83,"5","花生
"," Peanuts",0,"""Optimum Fruits"" LLC","images/SME/Optimum Fruits LLC/","images/SME/Optimum Fruits LLC/5.jpg"
